"0,1"
"2.7,14.6815"
"2.71,14.8283"
"2.72,14.9766"
"2.73,15.1264"
"2.74,15.2776"
"2.75,15.4304"
"2.76,15.5847"
"2.77,15.7406"
"2.78,15.898"
"2.79,16.057"
"2.8,16.2175"
"2.81,16.3797"
"2.82,16.5435"
"2.83,16.7089"
"2.84,16.876"
"2.85,17.0448"
"2.86,17.2152"
"2.87,17.3874"
"2.88,17.5613"
"2.89,17.7369"
"2.9,17.9142"
"2.91,18.0934"
"2.92,18.2743"
"2.93,18.4571"
"2.94,18.6416"
"2.95,18.828"
"2.96,19.0163"
"2.97,19.2065"
"2.98,19.3986"
"2.99,19.5925"
